27120,1262
35631,40
29386,1040
37231,376
20554,658,2744
32441,648
26677,916,4474
17422,86
25128,100
34731,381,982,2087
49007,1260,1506
36070,871
55183,47,55
43399,1043
40581,1640
11323,1957
30753,525
23450,636
10117,347
22776,507
22620,2856
38645,373,845
23917,1031
37095,236,1917
37163,2349
15961,859,886
48657,1925
18306,387
43601,882
56931,11899
17040,33,215,869
11372,677
11903,1623
19497,900
45069,10
32975,960
48545,1231,1388
30715,967
27029,2874
56267,290
16412,373
25133,180
38999,534
41124,1077
56452,899
44345,214
48493,250
52766,930
52146,14211
15158,1723
178,21705,34668,34988
10298,10678
39057,314
56829,1766
49702,685
41939,418,1188
47539,2508
28488,1531
34768,187
31112,1302
17437,1537
30803,1965
48154,1965
33646,290
23025,580
32599,2516
40503,1632,10234
31750,2356
54834,867
30403,3919
31646,4045
18959,2734
17574,489
46509,381
27380,1445
15628,488
52210,866
21892,2112
39624,997
27009,1350
10065,124
14562,415
15710,706
15680,2612
16241,2324
29735,547
41317,2617
10816,97,188,204,220,242,297,330,373,388,658,679,794,815,1126,1701
12526,1491,1564
40143,600
50432,373
42969,196
56537,1229,13886
56331,973
53464,1444
14201,340
18991,257,1648,13443
51743,1861
43335,358,1088,1711,1912,12716
7902,44800,45036,45049,45662,45786,46122,46208,46640
12454,309,10027,10044,11118,11459,11531,12811,12812,13919,18711,20189,20419,20700,20815,21212,21644,21823,22047,22231,22318,22436,22605,22631,22935,23001,23243,28323,34837,42237,51900
35219,1350
56461,250
29241,699
55938,274
22668,1993
40763,196
43373,2509
16832,1632,10234
14494,1007
40134,1836
40642,1018
21436,1011
28169,84,148
37057,411
10157,312
41427,1957
48051,8361
23245,1882
49102,2816
50337,1992
56214,1623
35132,1473
34805,97
45339,1992
35208,1350
42972,225
39912,447
47623,1446
2633,11200
36838,25535
29001,660
37545,1528
26260,2175
13963,81
12830,53,600,732,981,1491,1616,2409
10427,1882
30643,2565,17962
36407,849
21250,346
16203,493
37271,1795
54957,156,820,2047,2801,9218
26745,1,40,42,55,117,135,225,290,364,539,561,10530,12082,14023
41322,1936
25962,815
26675,370
14656,9965,11798,12010,14023,14024,14317,16550,18373,19786,22156,25785,33525,34956,35847,36577,36693,37091,39495,40789,41580
36096,8618,11387
39301,698
18764,13376
30263,3328
19082,532
53862,1235
17594,105
47340,3035
11282,1005,1294
3441,11798
17402,40,1035,1217,1425,1504,2069
34333,998
